"sample" "month" "temp" "count"
1 6 69.8 43
2 5 65.5 45
3 4 61 22
4 4 64.5 31
5 6 68.4 27
6 6 65.5 45
7 4 64 34
8 5 66.9 31
9 6 58.7 41
10 6 63.7 34
11 5 68.1 49
12 4 61.2 29
13 6 66.6 28
14 5 59.5 39
15 4 65.7 24
16 4 67.9 37
17 5 63.1 41
18 4 57.8 30
19 4 62.1 33
20 4 68.5 21
21 5 63.9 36
22 5 66.3 39
23 5 63.8 55
24 6 62.6 35
25 6 64.5 36
26 4 70.5 28
27 5 55.5 42
28 5 70.3 38
29 5 64.4 28
30 5 74.2 37
31 5 61.8 38
32 5 66.5 37
33 6 63.6 45
34 5 60.7 51
35 5 62.1 42
36 6 65.8 51
37 5 62.2 34
38 6 60.5 34
39 6 68 42
40 5 64.7 38
41 6 58.8 28
42 4 57.6 22
43 4 70.7 33
44 6 61.8 32
45 6 67.4 29
46 6 67.2 33
47 6 69 54
48 5 68.4 50
49 6 72.6 36
50 5 66.9 50
51 4 71.7 31
52 5 64.7 42
53 5 57 40
54 5 63 34
55 5 65 44
56 6 59.7 42
57 6 61.4 37
58 6 64.4 40
59 5 64.4 47
60 6 60.5 33
61 4 64.9 25
62 5 64.2 47
63 5 61.6 41
64 4 63 29
65 5 68.9 38
66 6 62.2 51
67 5 62.1 44
68 6 62 36
69 6 58.8 36
70 6 57.2 31
71 4 65.5 30
72 6 67.1 40
73 6 53.6 37
74 6 56.2 35
75 5 63.4 42
76 4 75.2 35
77 4 66.1 29
78 5 66.5 50
79 4 64.7 22
80 5 63.5 44
81 4 56.9 31
82 4 70.3 32
83 5 67 40
84 5 62.1 43
85 6 61.5 38
86 4 63 23
87 5 65.5 40
88 5 70.6 50
89 4 66.3 31
90 6 58.7 39
91 4 71 28
92 4 56 31
93 4 66.7 39
94 4 64.4 29
95 6 64.3 33
96 4 64.2 28
97 6 67.1 30
98 5 65.6 40
99 4 65.8 42
100 5 68 42
